01.05.2023 00:00;31.10.2023 23:59;;;
trafficSpotName;statisticsType;timePeriod;objectClass;count
LIEP_01 traffic spot;Red light;18.07.2023;Bus;1
LIEP_01 traffic spot;Red light;18.07.2023;Car;1
LIEP_01 traffic spot;Red light;19.07.2023;Car;1
LIEP_01 traffic spot;Red light;21.07.2023;Car;2
LIEP_01 traffic spot;Red light;22.07.2023;Car;3
LIEP_01 traffic spot;Red light;25.07.2023;Van;2
LIEP_01 traffic spot;Red light;28.07.2023;Car;2
LIEP_01 traffic spot;Red light;31.07.2023;Bus;1
LIEP_01 traffic spot;Red light;02.08.2023;Car;1
LIEP_01 traffic spot;Red light;04.08.2023;Car;2
LIEP_01 traffic spot;Red light;05.08.2023;Car;2
LIEP_01 traffic spot;Red light;07.08.2023;Car;1
LIEP_01 traffic spot;Red light;10.08.2023;Car;1
LIEP_01 traffic spot;Red light;11.08.2023;Car;2
LIEP_01 traffic spot;Red light;12.08.2023;Car;2
LIEP_01 traffic spot;Red light;15.08.2023;Car;1
LIEP_01 traffic spot;Red light;15.08.2023;Van;1
LIEP_01 traffic spot;Red light;16.08.2023;Car;1
LIEP_01 traffic spot;Red light;17.08.2023;Car;1
LIEP_01 traffic spot;Red light;18.08.2023;Car;1
LIEP_01 traffic spot;Red light;21.08.2023;Car;1
LIEP_01 traffic spot;Red light;22.08.2023;Car;3
LIEP_01 traffic spot;Red light;25.08.2023;Car;1
LIEP_01 traffic spot;Red light;26.08.2023;Car;2
LIEP_01 traffic spot;Red light;30.08.2023;Car;2
LIEP_01 traffic spot;Red light;01.09.2023;Car;1
LIEP_01 traffic spot;Red light;02.09.2023;Car;1
LIEP_01 traffic spot;Red light;03.09.2023;Car;1
LIEP_01 traffic spot;Red light;05.09.2023;Car;1
LIEP_01 traffic spot;Red light;08.09.2023;Bus;1
LIEP_01 traffic spot;Red light;13.09.2023;Car;1
LIEP_01 traffic spot;Red light;14.09.2023;Car;2
LIEP_01 traffic spot;Red light;14.09.2023;Van;1
LIEP_01 traffic spot;Red light;15.09.2023;Car;1
LIEP_01 traffic spot;Red light;16.09.2023;Car;2
LIEP_01 traffic spot;Red light;19.09.2023;Van;1
LIEP_01 traffic spot;Red light;20.09.2023;Car;1
LIEP_01 traffic spot;Red light;24.09.2023;Car;1
LIEP_01 traffic spot;Red light;25.09.2023;Bus;1
LIEP_01 traffic spot;Red light;25.09.2023;Car;2
LIEP_01 traffic spot;Red light;26.09.2023;Van;1
LIEP_01 traffic spot;Red light;26.09.2023;Car;1
LIEP_01 traffic spot;Red light;02.10.2023;Car;1
LIEP_01 traffic spot;Red light;06.10.2023;Car;1
LIEP_01 traffic spot;Red light;07.10.2023;Bus;1
LIEP_01 traffic spot;Red light;07.10.2023;Car;1
LIEP_01 traffic spot;Red light;08.10.2023;Car;1
LIEP_01 traffic spot;Red light;10.10.2023;Truck;1
LIEP_01 traffic spot;Red light;12.10.2023;Car;2
LIEP_01 traffic spot;Red light;14.10.2023;Car;1
LIEP_01 traffic spot;Red light;18.10.2023;Van;1
LIEP_01 traffic spot;Red light;25.10.2023;Car;1
LIEP_01 traffic spot;Red light;29.10.2023;Car;1
LIEP_01 traffic spot;Red light;31.10.2023;Car;1
